field,desc,note
form_type,varchar(10),
filer_committee_id_number,varchar(9),fec_id of committee
transaction_id,varchar(255),
back_reference_tran_id_number,varchar(255),
back_reference_sched_name,varchar(255),
entity_type,varchar(255),
payee_organization_name,varchar(255),
payee_last_name,varchar(255),
payee_first_name,varchar(255),
payee_middle_name,varchar(255),
payee_prefix,varchar(255),
payee_suffix,varchar(255),
payee_street_1,varchar(255),
payee_street_2,varchar(255),
payee_city,varchar(255),
payee_state,varchar(255),
payee_zip,varchar(255),
election_code,varchar(255),
election_other_description,varchar(255),
expenditure_date,date,
expenditure_amount,"
decimal(20,2)",
semi_annual_refunded_bundled_amt,"decimal(20,2)",
expenditure_purpose_descrip,varchar(255),
category_code,varchar(255),
beneficiary_committee_fec_id,varchar(255),
beneficiary_committee_name,varchar(255),
beneficiary_candidate_fec_id,varchar(9),
beneficiary_candidate_last_name,varchar(255),
beneficiary_candidate_first_name,varchar(255),
beneficiary_candidate_middle_name,varchar(255),
beneficiary_candidate_prefix,varchar(255),
beneficiary_candidate_suffix,varchar(255),
beneficiary_candidate_office,varchar(255),
beneficiary_candidate_state,varchar(255),
beneficiary_candidate_district,varchar(255),
conduit_name,varchar(255),
conduit_street_1,varchar(255),
conduit_street_2,varchar(255),
conduit_city,varchar(255),
conduit_state,varchar(255),
conduit_zip,varchar(255),
memo_code,varchar(255),
memo_text_description,varchar(255),
reference_to_si_or_sl_system_code_that_identifies_the_account,varchar(255),
