field,desc,note
form_type,varchar(10),
filer_committee_id_number,varchar(9),
transaction_id,varchar(255),
back_reference_tran_id_number,varchar(255),
back_reference_sched_name,varchar(255),
entity_type,varchar(255),
payee_organization_name,varchar(255),
payee_last_name,varchar(255),
payee_first_name,varchar(255),
payee_middle_name,varchar(255),
payee_prefix,varchar(255),
payee_suffix,varchar(255),
payee_street_1,varchar(255),
payee_street_2,varchar(255),
payee_city,varchar(255),
payee_state,varchar(255),
payee_zip,varchar(255),
election_code,varchar(255),
election_other_description,varchar(255),
dissemination_date,date,
expenditure_date,date,
expenditure_amount,"decimal(20,2)",
calendar_y_t_d_per_election_office,"decimal(20,2)",
expenditure_purpose_descrip,varchar(255),
category_code,varchar(255),
payee_cmtte_fec_id_number,varchar(9),
support_oppose_code,varchar(1),
candidate_id_number,varchar(9),
candidate_last_name,varchar(255),
candidate_first_name,varchar(255),
candidate_middle_name,varchar(255),
candidate_prefix,varchar(255),
candidate_suffix,varchar(255),
candidate_office,varchar(255),
candidate_state,varchar(255),
candidate_district,varchar(255),
completing_last_name,varchar(255),
completing_first_name,varchar(255),
completing_middle_name,varchar(255),
completing_prefix,varchar(255),
completing_suffix,varchar(255),
date_signed,date,
memo_code,varchar(255),
memo_text_description,varchar(255),
