field,desc,note
form_type,varchar(10),
filer_committee_id_number,varchar(9),fec_id of committee
transaction_id,varchar(255),"set by fec vendor, no gaurantee on uniqueness"
back_reference_tran_id_number,varchar(255),
back_reference_sched_name,varchar(255),
entity_type,varchar(255),
contributor_organization_name,varchar(255),
contributor_last_name,varchar(255),
contributor_first_name,varchar(255),
contributor_middle_name,varchar(255),
contributor_prefix,varchar(255),
contributor_suffix,varchar(255),
contributor_street_1,varchar(255),
contributor_street_2,varchar(255),
contributor_city,varchar(255),
contributor_state,varchar(255),
contributor_zip,varchar(255),
election_code,varchar(255),
election_other_description,varchar(255),
contribution_date,date,
contribution_amount,"decimal(20,2)",
contribution_aggregate,"decimal(20,2)",
contribution_purpose_descrip,varchar(255),
contributor_employer,varchar(255),
contributor_occupation,varchar(255),
donor_committee_fec_id,varchar(9),
donor_committee_name,varchar(255),
donor_candidate_fec_id,varchar(255),
donor_candidate_last_name,varchar(255),
donor_candidate_first_name,varchar(255),
donor_candidate_middle_name,varchar(255),
donor_candidate_prefix,varchar(255),
donor_candidate_suffix,varchar(255),
donor_candidate_office,varchar(255),
donor_candidate_state,varchar(255),
donor_candidate_district,varchar(255),
conduit_name,varchar(255),
conduit_street1,varchar(255),
conduit_street2,varchar(255),
conduit_city,varchar(255),
conduit_state,varchar(255),
conduit_zip,varchar(255),
memo_code,varchar(255),
memo_text_description,varchar(255),
reference_code,varchar(255),
